title,bechdel,domgross,intgross
21 &amp; Over,FAIL,25682380,42195766
Dredd 3D,PASS,13414714,40868994
12 Years a Slave,FAIL,53107035,158607035
2 Guns,FAIL,75612460,132493015
42,FAIL,95020213,95020213
47 Ronin,FAIL,38362475,145803842
A Good Day to Die Hard,FAIL,67349198,304249198
About Time,PASS,15323921,87324746
Admission,PASS,18007317,18007317
After Earth,FAIL,60522097,244373198
American Hustle,PASS,148430908,249484909
August: Osage County,PASS,37304874,50304874
Beautiful Creatures,PASS,19452138,55940671
Blue Jasmine,PASS,33345833,68447831
Captain Phillips,FAIL,107136417,218743570
Carrie,PASS,35266619,85001659
Cloudy with a Chance of Meatballs 2,FAIL,119640264,271725448
Despicable Me 2,PASS,368065385,970766005
Don Jon,FAIL,24477704,26377704
Elysium,PASS,93050117,286192091
Ender&#39;s Game,FAIL,61737191,89737191
Epic,PASS,107518682,268418682
Escape from Planet Earth,PASS,57012977,66454811
Escape Plan,FAIL,25213103,103813103
Evil Dead,PASS,54239856,97402049
Fast and Furious 6,PASS,238679850,788128122
Frozen,PASS,393050114,1004550114
G.I. Joe: Retaliation,PASS,122523060,371923060
Gangster Squad,FAIL,46000903,104100903
Gloria,PASS,4167493,4967493
Gravity,FAIL,271814796,708714796
Grown Ups 2,FAIL,133668525,247023808
Hansel &amp; Gretel: Witch Hunters,PASS,55703475,225703475
Her,FAIL,25000178,33029713
Identity Thief,FAIL,134506920,176269721
Insidious: Chapter 2,FAIL,83586447,161911222
Iron Man 3,FAIL,408992272,1212692272
Jack the Giant Slayer,FAIL,65187603,197387603
Kick-Ass 2,PASS,28795985,60839197
Last Vegas,FAIL,63914167,112914167
Lee Daniels&#39; The Butler,PASS,116632095,151513429
Machete Kills,PASS,8008161,9408161
Mama,PASS,71628180,148041253
Man of Steel,PASS,291045518,687999518
Nebraska,PASS,17482517,17482517
Now You See Me,FAIL,117723989,351723989
Oblivion,FAIL,89107235,287537983
Olympus Has Fallen,FAIL,98927592,150562164
Oz the Great and Powerful,PASS,234770996,489570996
Pacific Rim,FAIL,101802906,411002906
Pain &amp; Gain,FAIL,49875291,81275291
Parker,PASS,17616641,46346651
Peeples,FAIL,9177065,9177065
Percy Jackson: Sea of Monsters,PASS,68559554,200859554
Prisoners,PASS,61002302,113402302
R.I.P.D.,FAIL,33618855,79019947
Red 2,PASS,53262560,137162560
Riddick,FAIL,42025135,92425135
Runner Runner,FAIL,19316646,62616646
Rush,FAIL,26947624,43047624
Safe Haven,PASS,71399120,93943623
Saving Mr. Banks,PASS,82834332,100734332
Side Effects,PASS,32172757,60288363
Star Trek Into Darkness,FAIL,228778661,466978661
Texas Chainsaw 3D,PASS,34341945,39093317
The Big Wedding,PASS,21819348,35770721
The Book Thief,PASS,21345525,62045525
The Call,PASS,51872378,58938768
The Conjuring,PASS,137400141,318000141
The Counselor,PASS,16973715,70373715
The Croods,FAIL,187168425,573068425
The Family,FAIL,36918811,51078541
The Fifth Estate,FAIL,3254172,6154172
The Frozen Ground,FAIL,#N/A,#N/A
The Great Gatsby,FAIL,144840419,351040419
The Hangover part 3,FAIL,112200072,362000072
The Heat,PASS,159581587,230781587
The Hobbit: The Desolation of Smaug,FAIL,257397516,937397516
The Host,FAIL,26623701,58188384
The Hunger Games: Catching Fire,PASS,424088260,857088260
The Incredible Burt Wonderstone,FAIL,22537881,24255957
The Internship,FAIL,44672764,93672764
The Last Exorcism Part II,PASS,15179303,18541236
The Lone Ranger,FAIL,89289910,259989910
The Mortal Instruments: City of Bones,PASS,31165421,75965567
The Purge,FAIL,64473115,91100541
The Smurfs 2,PASS,71017784,348545841
The To Do List,PASS,3491669,3491669
The Way Way Back,PASS,21502690,26161443
The Wolf of Wall Street,FAIL,115702857,365702857
The Wolverine,PASS,132556852,416456852
The World&#39;s End,FAIL,26004851,46578821
This Is the End,FAIL,101470202,126294264
Thor: The Dark World,FAIL,204674790,631674790
Trance,FAIL,2322593,22594052
Turbo,FAIL,83028130,283828130
Warm Bodies,FAIL,66380662,116643610
We&#39;re the Millers,PASS,150394119,270000119
White House Down,FAIL,73103784,205440387
World War Z,FAIL,202359711,539559711
Abraham Lincoln: Vampire Hunter,FAIL,37519139,115119139
Act of Valor,FAIL,70012847,82497035
Amour,FAIL,6738954,25915719
Anna Karenina,FAIL,12816367,70735540
Argo,PASS,136025503,221300694
Battleship,FAIL,65235400,304142720
Beasts of the Southern Wild,FAIL,12795746,21080058
Blue Like Jazz,PASS,595018,595018
Brave,PASS,237282182,554606532
Bullet to the Head,FAIL,9489829,13561515
Chernobyl Diaries,FAIL,18119640,38390020
Chronicle,FAIL,64575175,127075175
Cloud Atlas,PASS,27108272,126018564
Contraband,PASS,66528000,98406855
Django Unchained,FAIL,162805434,425373688
Flight,FAIL,93772375,161772375
Frankenweenie,FAIL,35287788,81150788
Hannibal,PASS,165092266,350100280
Hotel Transylvania,PASS,148313048,359222014
Jack Reacher,FAIL,80070736,217370736
Jagten,FAIL,687185,687185
John Carter,PASS,73058679,282778100
Killing Them Softly,FAIL,14945541,37238774
Les Miserables,PASS,148809770,442022894
Life of Pi,FAIL,124987022,607987022
Lincoln,PASS,182207973,273000960
Madagascar 3: Europe&#39;s Most Wanted,FAIL,216391482,746921271
Men in Black III,FAIL,179020854,624821154
Mirror Mirror,FAIL,64935167,168611991
Moonrise Kingdom,PASS,45512466,64012466
Much Ado About Nothing,FAIL,22549338,22549338
One for the Money,PASS,26414527,36197221
Paranormal Activity 4,PASS,53900335,142793842
ParaNorman,FAIL,56003051,108159011
Parental Guidance,PASS,77267296,120168633
People Like Us,PASS,12431792,12431792
Pitch Perfect,PASS,65001093,115331177
Premium Rush,PASS,20275446,31393201
Red Dawn,FAIL,44806783,48164150
Red Tails,FAIL,49876377,50365498
Rise of the Guardians,FAIL,103412758,306900902
Rock of Ages,PASS,38518613,50118613
Safe,FAIL,17142080,41495213
Safety Not Guaranteed,PASS,4010957,4413188
Seven Psychopaths,FAIL,15024049,23492318
Silent Hill: Revelation 3D,PASS,17530219,47944599
Silver Linings Playbook,PASS,132092958,227317397
Sinister,FAIL,48086903,87727807
Skyfall,FAIL,304360277,1108694081
Snow White and the Huntsman,PASS,155136755,400911200
Sparkle,PASS,24397469,24660323
Spring Breakers,PASS,14124286,30669531
Step Up Revolution,PASS,35074677,165552290
Supporting Characters,FAIL,4917,4917
Ted,FAIL,218665740,549444574
That&#39;s My Boy,FAIL,36931089,58058367
The Amazing Spider-Man,FAIL,262030663,757890267
The Avengers,FAIL,23385416,48585416
The Dark Knight Rises,FAIL,448139099,1079343943
The Devil Inside,PASS,53261944,101758489
The Dictator,FAIL,59650222,179379532
The Expendables 2,PASS,85028192,311979256
The Grey,FAIL,51580136,84339696
The Hobbit: An Unexpected Journey,FAIL,303003568,1014703568
The Hunger Games,PASS,408010692,684510692
The Impossible,FAIL,19019882,169590606
The Man with the Iron Fists,FAIL,15634090,21985095
The Master,FAIL,16247159,25116740
The Pirates! Band of Misfits,FAIL,31051126,123056220
The Place Beyond the Pines,FAIL,21403519,47011449
The Twilight Saga: Breaking Dawn - Part 2,FAIL,292324737,832660037
The Vow,PASS,125014030,197618160
The Watch,FAIL,34353000,67353000
The Woman in Black,FAIL,54333290,128955898
The Words,FAIL,11494838,12132578
Think Like a Man,PASS,91547205,96155124
To Rome With Love,FAIL,16684352,74363777
Total Recall,FAIL,58877969,198615996
Underworld: Awakening,PASS,62321039,160379930
Wanderlust,PASS,17288155,24159934
What to Expect When You&#39;re Expecting,PASS,41152203,80652203
Won&#39;t Back Down,PASS,5310554,5431486
Wrath of the Titans,FAIL,83670083,301970083
Wreck-It Ralph,PASS,189412677,473412677
Zero Dark Thirty,PASS,95720716,137720716
30 Minutes or Less,FAIL,37053924,40966716
50/50,FAIL,35016118,41334735
A Dangerous Method,FAIL,5702083,14807531
A Lonely Place to Die,PASS,#N/A,442550
A Very Harold &amp; Kumar 3D Christmas,FAIL,35061031,36265745
Another Earth,PASS,1321194,1781194
Apollo 18,FAIL,17686929,26517819
Arthur Christmas,FAIL,46462469,147624649
Attack the Block,PASS,1024175,5406422
Bad Teacher,PASS,100292856,216412265
Battle: Los Angeles,FAIL,83552429,212005201
Beastly,FAIL,27865571,38028230
Blackthorn,FAIL,200558,1249765
Bridesmaids,PASS,169106725,289263136
Captain America: The First Avenger,FAIL,176654505,370569776
Cars 2,FAIL,191450875,560155383
Circumstance,PASS,454121,454121
Colombiana,FAIL,36665854,71698079
Conan the Barbarian,FAIL,38264085,79114085
Contagion,PASS,75658097,137551594
Coriolanus,FAIL,749641,1049641
Cowboys &amp; Aliens,FAIL,100240551,175910315
Detention,PASS,#N/A,#N/A
Diary of a Wimpy Kid: Rodrick Rules,FAIL,52698535,73695194
Dolphin Tale,FAIL,72286779,96068724
Dream House,PASS,21302340,39932340
Drive,FAIL,35060689,78054825
Fast Five,PASS,209837675,629841284
Final Destination 5,FAIL,42587643,157887643
Footloose,PASS,51802742,63412773
Fright Night,FAIL,18298649,40520649
Green Lantern,FAIL,116601172,231201172
Hall Pass,FAIL,45060734,83693266
Hanna,PASS,40259119,65343694
Harry Potter and the Deathly Hallows: Part 2,FAIL,381011219,1328111219
Haywire,FAIL,18942396,22176190
Hesher,FAIL,382946,382946
Higher Ground,PASS,841056,859182
Hobo with a Shotgun,FAIL,703372,834953
Hop,FAIL,108085305,184924333
Horrible Bosses,PASS,117538559,214538559
Hugo,FAIL,73864507,185033215
I Am Number Four,FAIL,55100437,145982797
Immortals,FAIL,83504017,211562435
In Time,FAIL,37553932,170064664
Iris,PASS,5580479,15155021
Jin ling shi san chai,PASS,311434,93721434
Johnny English Reborn,FAIL,8305970,164539660
Jumping the Broom,PASS,37295394,38158601
Just Go with It,FAIL,103028109,214974953
Kill List,FAIL,29063,462206
Killer Elite,FAIL,25124986,57777106
Kung Fu Panda 2,PASS,165249063,664837547
Le Havre,FAIL,611709,13480196
Like Crazy,PASS,3395391,3731489
Limitless,FAIL,79249455,169739455
Margaret,PASS,47185,47185
Margin Call,FAIL,5353586,17872206
Mars Needs Moms,FAIL,21392758,39549758
Martha Marcy May Marlene,PASS,2981038,3531038
Melancholia,PASS,3030848,18044073
Midnight in Paris,PASS,56816662,154816662
Mission: Impossible - Ghost Protocol,FAIL,209397903,694713230
Moneyball,FAIL,75605492,111174374
Mr. Popper&#39;s Penguins,FAIL,68224452,189624452
New Year&#39;s Eve,PASS,54544638,143663899
No Strings Attached,PASS,70662220,149228078
October Baby,PASS,5355847,5355847
Our Idiot Brother,PASS,24814830,25861249
Paranormal Activity 3,PASS,104028807,207039844
Paul,PASS,37412945,100179814
Pirates of the Caribbean: On Stranger Tides,FAIL,241063875,1043663875
Priest,FAIL,29136626,84154026
Puss in Boots,FAIL,149260504,554987477
Rango,FAIL,123257581,245504574
Real Steel,FAIL,85463309,293237309
Red Riding Hood,PASS,37662162,90300442
Red State,PASS,1065429,1065429
Restless,PASS,163753,2818394
Rio,FAIL,143619809,487519809
Rise of the Planet of the Apes,FAIL,176760185,482860185
Shame,FAIL,4002293,10781688
Snow Flower and the Secret Fan,PASS,1348205,11348205
Soul Surfer,PASS,43853424,47158652
Source Code,FAIL,54712227,140428499
Straw Dogs,PASS,10324441,11253821
Sucker Punch,PASS,36392502,89758389
Super 8,PASS,127004179,260095987
Take Shelter,PASS,1728953,3128953
The Adjustment Bureau,FAIL,62495645,127793502
The Adventures of Tintin,FAIL,77591831,373993951
The Artist,FAIL,44667095,128256712
The Best Exotic Marigold Hotel,PASS,46383639,134729347
The Cabin in the Woods,FAIL,42073277,70768144
The Darkest Hour,PASS,21443494,62831715
The Divide,PASS,18000,18000
The Future,PASS,568662,568662
The Girl with the Dragon Tattoo,FAIL,102515793,233170238
The Green Hornet,FAIL,98780042,227983150
The Guard,FAIL,5359774,15944629
The Help,PASS,169705587,213120004
The Iron Lady,PASS,29959436,115592104
The Lincoln Lawyer,FAIL,58009200,87145086
The Mechanic,FAIL,29121498,76347393
The Muppets,FAIL,88625922,160971922
The Rite,FAIL,33047633,96047633
The Roommate,PASS,37300107,40497461
The Smurfs,PASS,142614158,563066551
The Three Musketeers,FAIL,20377913,139877913
The Tree of Life,FAIL,13305665,62305665
The Twilight Saga: Breaking Dawn - Part 1,PASS,281287133,709938657
Thor,PASS,181030624,449326618
Tinker Tailor Soldier Spy,FAIL,24149393,81452811
Tower Heist,FAIL,78046570,153470352
Transformers: Dark of the Moon,PASS,352390543,1123794076
War Horse,FAIL,79883359,156815529
Warrior,FAIL,13657115,24215385
We Bought a Zoo,FAIL,75624550,118924550
Weekend,FAIL,484592,1577585
What&#39;s Your Number,PASS,14011084,30711084
Winnie the Pooh,FAIL,26692846,50145607
X-Men: First Class,PASS,146408305,355408305
Young Adult,PASS,16311571,22750356
Your Sister&#39;s Sister,PASS,1597486,3090593
127 Hours,FAIL,18335230,60735230
Alice in Wonderland,PASS,334191110,1024391110
Animal Kingdom,FAIL,1044039,8078683
Another Year,PASS,3205706,18505706
Barney&#39;s Version,PASS,7502560,8845575
Beginners,FAIL,5790894,11564267
Biutiful,FAIL,5101237,25101237
Black Swan,PASS,106954678,331266710
Blue Valentine,FAIL,9737892,16566240
Burlesque,PASS,39440655,89657398
Casino Jack,FAIL,2039869,2080869
Centurion,FAIL,123570,6623570
Charlie St. Cloud,FAIL,31206263,48478084
Clash of the Titans,FAIL,163214888,493214888
Conviction,PASS,6797696,10133552
Cop Out,FAIL,44875481,55909910
Country Strong,PASS,20218921,20551476
Cyrus,FAIL,7468936,10039886
Date Night,PASS,98711404,152269033
Dear John,FAIL,80014842,111362410
Despicable Me,PASS,251513985,543495033
Devil,PASS,33679655,63354114
Diary of a Wimpy Kid,PASS,64003625,76954311
Dinner for Schmucks,FAIL,73026337,86796502
Don&#39;t Be Afraid of the Dark,PASS,24046682,31551048
Due Date,FAIL,100539043,211739043
Dylan Dog: Dead of Night,FAIL,1186538,6090697
Easy A,PASS,58401464,76200721
"Eat, Pray, Love",PASS,80574010,205846861
Edge of Darkness,FAIL,43313890,81208697
Everything Must Go,FAIL,2712131,2712131
Fair Game,PASS,11497497,26097497
Faster,FAIL,23240020,35658648
For Colored Girls,PASS,37729698,38017873
Frozen,FAIL,393050114,1004550114
Get Him To The Greek,FAIL,61153526,91455875
Going the Distance,PASS,17804299,39990165
Green Zone,FAIL,35497337,97523020
Grown Ups,PASS,162001186,272223430
Gunless,FAIL,458054,458054
Harry Potter and the Deathly Hallows: Part 1,PASS,295983305,956399711
Hot Tub Time Machine,FAIL,50269859,63209958
How to Train Your Dragon,PASS,217581231,494870991
I Am Love,PASS,5005465,15132211
Inception,FAIL,292576195,832584416
Insidious,PASS,54009150,99870886
Iron Man 2,PASS,312433331,623561331
It&#39;s Kind of a Funny Story,FAIL,6363628,6628326
Kick-Ass,FAIL,48071303,97527535
Knight and Day,FAIL,76423035,262142047
Legion,PASS,40168080,68854097
Let Me In,FAIL,12134935,28270399
Letters to Juliet,FAIL,53032453,79135982
Love and Other Drugs,FAIL,32367005,102719647
Machete,PASS,26593646,44331957
Made In Dagenham,PASS,1095369,15644196
Meek&#39;s Cutoff,FAIL,977772,1869928
Megamind,FAIL,148415853,321887208
Monsters,FAIL,237301,5639730
Morning Glory,PASS,31011732,60040974
Nanny McPhee and the Big Bang,PASS,29197642,97799865
Never Let Me Go,PASS,2434652,11509512
Paranormal Activity 2,PASS,84752907,177512032
Percy Jackson &amp; the Olympians: The Lightning Thief,FAIL,88768303,226467130
Please Give,PASS,4033574,4570178
Predators,FAIL,52000688,127234389
Prince of Persia: The Sands of Time,FAIL,90759676,335059676
Rabbit Hole,PASS,2229058,5839592
Ramona and Beezus,PASS,26167002,27469621
Red,FAIL,90380162,196439693
Remember Me,PASS,19068240,56506120
Repo Men,PASS,13942007,18195238
Robin Hood,FAIL,105487148,322459006
Salt,PASS,118311368,295713467
Scott Pilgrim vs. the World,PASS,31611316,48089760
Secretariat,PASS,59699513,60376247
Sex and the city 2,PASS,95347692,294680778
Shrek Forever After,FAIL,238736787,756244673
Shutter Island,FAIL,128012934,296831073
Skyline,FAIL,21416355,78693371
Somewhere,FAIL,1785645,14385645
Submarine,FAIL,467602,4581937
Super,FAIL,327716,518362
Takers,FAIL,57744720,70587268
Tangled,PASS,200821936,586581936
The A-Team,FAIL,77222099,177241171
The Back-up Plan,PASS,37490007,75281179
The Chronicles of Narnia: The Voyage of the Dawn Treader,PASS,104386950,418186950
The Conspirator,FAIL,11538204,15907411
The Crazies,PASS,39123589,54956140
The Debt,PASS,31177548,46604054
The Expendables,FAIL,103068524,268268174
The Fighter,FAIL,93617009,129262388
The Ghost Writer,FAIL,15541549,65532491
The Illusionist,FAIL,39868642,83792062
The Karate Kid,FAIL,176591618,359091618
The Kids Are All Right,PASS,20811365,36275469
The Killer Inside Me,FAIL,217277,3617277
The King&#39;s Speech,PASS,138797449,430821166
The Last Airbender,FAIL,131772187,319713881
The Last Exorcism,PASS,41034350,70165900
The Losers,FAIL,23591432,26714018
The Next Three Days,PASS,21148651,67255916
The Other Guys,FAIL,119219978,170936470
The Runaways,PASS,3573673,5278632
The Social Network,FAIL,96962694,224922135
The Sorcerer&#39;s Apprentice,FAIL,63150991,215150991
The Spy Next Door,PASS,24307106,50983364
The Switch,FAIL,27758465,49858465
The Tempest,PASS,277943,277943
The Tourist,FAIL,67631157,278731369
The Town,FAIL,92186262,152566881
The Twilight Saga: Eclipse,PASS,300531751,699590681
The Wolfman,FAIL,62189884,142634358
Tiny Furniture,PASS,391674,424149
Toy Story 3,FAIL,415004880,1063759456
Tron Legacy,FAIL,172062763,397562763
True Grit,PASS,171243005,252276928
Tucker and Dale vs Evil,PASS,223838,5476793
Unstoppable,FAIL,81562942,169511609
Valentine&#39;s Day,PASS,110485654,217569328
Wall Street: Money Never Sleeps,FAIL,52474616,137431619
Welcome to the Rileys,PASS,152857,312857
Wild Target,FAIL,109338,109338
Winter&#39;s Bone,PASS,6531503,16131552
Womb,PASS,#N/A,#N/A
Yogi Bear,FAIL,100246011,202284317
You Again,PASS,25702053,32838945
You Will Meet a Tall Dark Stranger,PASS,3247816,34247816
(500) Days of Summer,FAIL,32391374,60803210
17 Again,PASS,64167069,139474906
2012,FAIL,166112167,788408539
9,FAIL,31749894,48559999
A Perfect Getaway,FAIL,15515460,22815460
A Serious Man,FAIL,9228788,30360570
A Single Man,FAIL,9176000,28142379
Adam,FAIL,2277396,2828590
Adventureland,FAIL,16044025,17144025
Agora,FAIL,619423,38992292
Ajami,FAIL,621859,621859
All About Steve,PASS,33862903,40127259
An Education,PASS,12574914,29652736
Angels &amp; Demons,FAIL,133375846,490875846
Armored,FAIL,15988876,23661038
Astro Boy,FAIL,19551067,44093014
Avatar,FAIL,760507625,2783918982
Away We Go,PASS,9451946,10108016
Br&uuml;no,FAIL,60054530,130788243
Bride Wars,PASS,58715510,115150424
Bright Star,PASS,4444637,17260680
Brooklyn&#39;s Finest,FAIL,27163593,39233233
Brothers,PASS,28544157,45043870
Capitalism: A Love Story,FAIL,14363397,19121531
Case 39,PASS,13261851,29302804
Chloe,FAIL,3075255,9675172
Cloudy with a Chance of Meatballs,FAIL,124870275,236827677
Coco avant Chanel,PASS,6113834,50813834
Coraline,PASS,75286229,126037057
Daybreakers,FAIL,30101577,51401577
Dead Snow,FAIL,46742,2194020
District 9,FAIL,115646235,215196627
Drag Me to Hell,PASS,42100625,91388487
Enter the Void,FAIL,337997,337997
Everybody&#39;s Fine,FAIL,9208876,9208876
Fantastic Mr. Fox,FAIL,21002919,46498922
Fast &amp; Furious,FAIL,155064265,363064265
Fired Up!,FAIL,17231291,18608570
Fish Tank,PASS,374675,5922292
Friday the 13th,FAIL,65002019,91700771
Funny People,FAIL,51855045,71880305
G-Force,FAIL,119436770,287389685
G.I. Joe: The Rise of Cobra,FAIL,150201498,302469017
Gamer,FAIL,20534907,35062683
Get Low,FAIL,9176933,9696933
Harry Brown,FAIL,1818681,6294140
Harry Potter and the Half-Blood Prince,PASS,301959197,934416487
He&#39;s Just Not That Into You,PASS,93953653,178390243
I Come with the Rain,FAIL,0,627422
I Love You Phillip Morris,FAIL,2037459,15144685
"I Love You, Man",FAIL,71440011,91729503
Ice Age: Dawn of the Dinosaurs,FAIL,196573705,886968695
Inglourious Basterds,FAIL,120831050,316971720
Invictus,FAIL,37491364,124491364
It&#39;s Complicated,PASS,112735375,224614744
Jennifer&#39;s Body,PASS,16204793,32832166
Julie &amp; Julia,PASS,94125426,126646119
Knowing,FAIL,79957634,187858642
Law Abiding Citizen,FAIL,73357727,131159781
Life During Wartime,PASS,281447,281447
Micmacs (Micmacs &agrave; tire-larigot),FAIL,1259693,11756922
Monsters vs Aliens,FAIL,198351526,381687380
Moon,FAIL,5010163,10676073
Mother and Child,PASS,1110509,5010509
My Bloody Valentine 3D,FAIL,51545952,102754998
My Sister&#39;s Keeper,PASS,49200230,96673002
Nine,FAIL,19676965,53508858
Ninja Assassin,FAIL,38122883,61622883
Nowhere Boy,FAIL,1445366,7785229
Ondine,PASS,550472,550472
Paa,FAIL,199228,9791282
Pandorum,FAIL,10330853,17033431
Perrier&#39;s Bounty,FAIL,828,828
Planet 51,FAIL,42194060,108996113
Precious: Based on the Novel Push by Sapphire,PASS,47566524,68722848
Public Enemies,FAIL,97104620,210379983
Push,PASS,31811527,44411527
Sherlock Holmes,FAIL,209028679,498438212
Splice,PASS,17010170,22461001
Star Trek,PASS,257730019,385680446
State of Play,PASS,37017955,91445389
Surrogates,FAIL,38577772,119668350
Terminator Salvation,FAIL,125322469,371628539
The Blind Side,FAIL,255959475,305705795
The Boat That Rocked,FAIL,8017467,37472651
The Boondock Saints II: All Saints Day,FAIL,10273187,10273187
The Box,PASS,15051977,26341896
The City of Your Final Destination,PASS,493296,1353296
The Final Destination,PASS,66477700,187384627
The Fourth Kind,PASS,26218170,49486874
The Girl with the Dragon Tattoo,FAIL,102515793,233170238
The Girlfriend Experience,FAIL,695840,1005840
The Good Guy,PASS,100688,100688
The Hangover,FAIL,277322503,469553471
The Imaginarium of Doctor Parnassus,FAIL,7689607,64352607
The Informant!,FAIL,33316821,41771168
The Invention of Lying,FAIL,18451251,32679264
The Last Station,PASS,6617867,15696146
The Lovely Bones,PASS,44114232,94894448
The Men Who Stare at Goats,FAIL,32428195,67348218
The Messenger,FAIL,1109660,1409660
The Princess and the Frog,PASS,104400899,270997378
The Proposal,FAIL,163958031,314709717
The Road,FAIL,8114270,27614270
The Secret of Kells,FAIL,690290,2600916
The Soloist,FAIL,31720158,38454152
The Taking of Pelham 123,FAIL,65452312,152364370
The Time Traveler&#39;s Wife,FAIL,63414846,98666635
The Ugly Truth,FAIL,88915214,205230042
The Unborn,PASS,42670410,78208812
The Young Victoria,PASS,11001272,31878891
Transformers: Revenge of the Fallen,PASS,402111870,836519699
Up,FAIL,293004164,731542621
Up in the Air,FAIL,83823381,166842739
Veronika Decides to Die,PASS,#N/A,#N/A
Watchmen,FAIL,107509799,184068357
Whatever Works,FAIL,5306706,35106706
Where the Wild Things Are,FAIL,77233467,99123656
Whip It,PASS,13043363,18856151
Whiteout,PASS,10275638,12254746
X-Men Origins: Wolverine,FAIL,179883157,374825760
Yesterday Was a Lie,PASS,#N/A,#N/A
Youth in Revolt,FAIL,15285588,19685588
Zombieland,PASS,75590286,102236596
21,PASS,81159365,157852532
Appaloosa,FAIL,20211394,27735474
Australia,FAIL,49554002,215080810
Baby Mama,PASS,60494212,64391484
Be Kind Rewind,FAIL,11175164,30894247
Bedtime Stories,PASS,110101975,218357961
Blindness,PASS,3073392,20052958
Bolt,PASS,114053759,313953759
Burn After Reading,FAIL,60355347,163415735
Changeling,PASS,35739802,113805580
Che: Part One,FAIL,293708,30118557
City of Ember,PASS,7871693,11817059
Cloverfield,PASS,80048433,170764033
Day of the Dead,PASS,#N/A,#N/A
Death Race,FAIL,36316032,72516819
Defiance,PASS,28644813,42268745
"Definitely, Maybe",PASS,32241649,55863786
Doomsday,PASS,11008770,21621188
Doubt,PASS,33446470,50946957
Eagle Eye,FAIL,101440743,178066569
Easy Virtue,PASS,2656784,12656784
Fireproof,FAIL,33456317,33473297
Fly Me to the Moon,FAIL,14543943,57546746
Forgetting Sarah Marshall,PASS,63172463,105173042
Four Christmases,PASS,120146040,163546040
Frost/Nixon,FAIL,18622031,28144586
Frozen River,PASS,2511476,6030129
Gake no ue no Ponyo,PASS,15090399,205312666
Ghost Town,FAIL,13252641,26612350
Gran Torino,FAIL,148095302,274543085
Hamlet 2,PASS,4886216,4898285
Hancock,FAIL,227946274,624346274
Herb &amp; Dorothy,PASS,75986503,160388063
High School Musical 3: Senior Year,PASS,90559416,274392880
Igor,FAIL,19528602,31013349
In Bruges,FAIL,7800825,34533783
Indiana Jones and the Kingdom of the Crystal Skull,FAIL,317023851,786558145
Inkheart,PASS,17303424,58051454
Iron Man,FAIL,318604126,582443126
Journey to the Center of the Earth,FAIL,101704370,240904370
Jumper,FAIL,81168265,223113205
Kung Fu Panda,FAIL,215434591,631910531
