,Title,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,Romance,Horror,Mystery,title,budget,popularity,production_companies,release_date,revenue,runtime,status,tagline,vote_average,vote_count,allFans,allCritics,aggregate_rating,profit_pct,profit_margin
54,Get Rich or Die Tryin',R,16,70,51.0,45,37.797857,2005,0,0,0,0,0,1,0,0,0,Get Rich or Die Tryin',48.8,9.820229,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'MTV Films', 'id': 746}, {'name': 'Cent Productions Inc.', 'id': 54336}]",2005-11-09,46442528.0,117.0,Released,If You Think You Know the Story...You Don't Know the Man.,6.3,188.0,60.5,30.5,45.5,0.7745462500000001,-0.2910784862750287
55,Deuce Bigalow: European Gigolo,R,9,33,46.0,23,27.328187879999998,2005,0,0,0,0,1,0,0,0,0,Deuce Bigalow: European Gigolo,26.84,5.341117,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Out of the Blue... Entertainment', 'id': 879}, {'name': 'Happy Madison Productions', 'id': 2608}]",2005-08-06,22400154.0,83.0,Released,For the women of Europe... The price of love just got a lot cheaper.,4.6,232.0,39.5,16.0,27.75,1.0181888181818182,0.01786389504286437
56,Dark Water,PG13,46,28,56.0,52,31.07717346,2005,0,0,0,0,0,0,0,1,1,Dark Water,36.6,6.53565,"[{'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Post No Bills Films', 'id': 49696}, {'name': 'Pandemonium Productions', 'id': 49697}]",2005-06-27,25473093.0,105.0,Released,"This Season, The Mystery Of The Darkness Will Consume Your Life",5.3,275.0,42.0,49.0,45.5,0.8491031,-0.17771328358122826
57,The Marine,PG13,20,60,47.0,45,22.425292959999997,2006,1,0,0,0,0,1,0,0,0,The Marine,23.8,6.679168,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Pacific Film and Television Commission', 'id': 4024}, {'name': 'WWE Studios', 'id': 10339}]",2006-10-13,22165608.0,92.0,Released,War is Fine But The Fight Continues,5.0,165.0,53.5,32.5,43.0,0.9422391999999998,-0.06130163126305951
58,A Good Year,PG13,25,65,69.0,47,8.876567,2006,0,0,0,0,1,1,1,0,0,A Good Year,41.65,7.82187,"[{'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Scott Free Productions', 'id': 1645}]",2006-09-09,42064105.0,118.0,Released,Everything matures... eventually.,6.5,360.0,67.0,36.0,51.5,0.21312285714285714,-3.6921292882710173
59,Notes on a Scandal,R,87,83,74.0,73,20.837040419999997,2006,0,0,0,0,0,1,0,0,0,Notes on a Scandal,17.85,8.593087,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'DNA Films', 'id': 284}, {'name': 'BBC Films', 'id': 288}, {'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'UK Film Council', 'id': 2452}]",2006-12-25,49469904.0,92.0,Released,One woman's secret is another woman's power. One woman's fear is another woman's weapon. One woman's life is in another woman's hands....,6.9,239.0,78.5,80.0,79.25,1.1673411999999999,0.14335243200531242
60,An Inconvenient Truth,PG,93,78,75.0,75,28.73393159,2006,0,0,0,0,0,0,0,0,0,An Inconvenient Truth,1.19,6.684925,"[{'name': 'Lawrence Bender Productions', 'id': 2253}, {'name': 'Paramount Classics', 'id': 2315}, {'name': 'Participant Media', 'id': 6735}]",2006-01-24,46243000.0,100.0,Released,By far the most terrifying film you will ever see.,6.7,257.0,76.5,84.0,80.25,24.146161000000003,0.9585855490651288
61,Southland Tales,R,38,41,55.0,44,0.3277022,2006,0,0,0,1,1,0,0,0,1,Southland Tales,20.23,6.242588,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Destination Films', 'id': 769}, {'name': 'Persistent Entertainment', 'id': 810}, {'name': 'Wild Bunch', 'id': 856}, {'name': 'MHF Zweite Academy Film', 'id': 8848}, {'name': 'Inferno Distribution', 'id': 11278}, {'name': 'Darko Entertainment', 'id': 12622}, {'name': 'Eden Roc Productions', 'id': 87783}, {'name': 'Cherry Road Films', 'id': 95289}, {'name': 'Academy Film', 'id': 95290}]",2006-05-15,374743.0,144.0,Released,Have a nice apocalypse.,5.2,154.0,48.0,41.0,44.5,0.016198823529411766,-60.73287820466265
62,The Good German,R,32,34,61.0,49,1.55734824,2006,0,0,0,0,0,1,1,0,1,The Good German,38.08,5.290831,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Section Eight Productions', 'id': 14315}, {'name': 'Sunset Gower Studios', 'id': 70319}]",2006-12-08,5914908.0,108.0,Released,"If war is Hell, then what comes after?",5.9,87.0,47.5,40.5,44.0,0.04089675,-23.451820743702125
63,World Trade Center,PG13,67,60,60.0,66,83.63188267,2006,0,0,0,0,0,1,0,0,0,World Trade Center,74.97,13.332102,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Double Feature Films', 'id': 215}, {'name': 'Intermedia Films', 'id': 763}, {'name': 'Kernos Filmproduktionsgesellschaft & Company', 'id': 20396}]",2006-08-09,162945894.0,128.0,Released,The world saw evil that day. Two men saw something else.,5.9,461.0,60.0,66.5,63.25,1.1155379841269841,0.10357153747427407
64,Ice Age: The Meltdown,PG,57,71,68.0,58,232.44343898999998,2006,1,1,1,0,1,0,0,0,0,Ice Age: The Meltdown,95.2,16.646029,"[{'name': 'Blue Sky Studios', 'id': 9383}, {'name': 'Twentieth Century Fox Animation', 'id': 11749}]",2006-03-23,660940780.0,91.0,Released,The Ice age is melting away.,6.5,3034.0,69.5,57.5,63.5,2.4416327625,0.590437998965866
65,The Sentinel,PG13,33,40,61.0,49,43.17402943,2006,0,0,0,0,0,1,0,0,1,The Sentinel,71.4,12.915358,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Major Studio Partners', 'id': 445}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Sentinel Productions', 'id': 28537}, {'name': 'Furthur Films', 'id': 33433}]",2006-04-19,77920346.0,108.0,Released,"In 141 years, there's never been a traitor in the Secret Service.... Until Now.",5.8,230.0,50.5,41.0,45.75,0.6046782833333333,-0.6537719768724402
66,The Lake House,PG,35,73,68.0,52,62.272832089999994,2006,0,0,0,0,0,1,1,0,0,The Lake House,47.6,12.589019,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Sound for Film', 'id': 1143}, {'name': 'Warner Bros.', 'id': 6194}]",2006-06-16,114830111.0,99.0,Released,How do you hold on to someone you've never met?,6.5,689.0,70.5,43.5,57.0,1.308252775,0.23562172455548575
67,The Ant Bully,PG,63,42,59.0,59,33.489616649999995,2006,0,1,1,0,1,1,0,0,0,The Ant Bully,59.5,7.000272,"[{'name': 'Playtone', 'id': 4171}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Legendary Entertainment', 'id': 84419}, {'name': 'DNA Productions', 'id': 89136}]",2006-07-27,55181129.0,88.0,Released,The battle for the lawn is on.,5.5,375.0,50.5,61.0,55.75,0.5628506999999999,-0.7766700832032369
68,Crank,R,61,71,70.0,57,33.12770552,2006,1,0,0,0,1,0,0,0,1,Crank,14.28,12.627593,"[{'name': 'Lions Gate Films', 'id': 35}, {'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'GreeneStreet Films', 'id': 2152}, {'name': 'Radical Media', 'id': 11152}]",2006-08-31,42931041.0,88.0,Released,"There are a thousand ways to raise your adrenaline. Today, Chev Chelios will need every single one.",6.6,1172.0,70.5,59.0,64.75,2.3198673333333333,0.5689408675955895
69,Happy Feet,PG,75,70,65.0,77,235.62037723,2006,0,1,1,0,1,0,0,0,0,Happy Feet,119.0,15.088318,"[{'name': 'Kennedy Miller Productions', 'id': 2537}, {'name': 'Animal Logic', 'id': 8089}]",2006-11-16,384335608.0,108.0,Released,WARNING: May Cause Toe-Tapping.,5.9,1457.0,67.5,76.0,71.75,1.98000317,0.4949503035391605
70,Pirates of the Caribbean: Dead Man's Chest,PG13,54,72,73.0,53,503.74581628,2006,1,0,0,1,1,0,0,0,0,Pirates of the Caribbean: Dead Man's Chest,238.0,29.455314,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Second Mate Productions', 'id': 19936}]",2006-06-20,1065659812.0,151.0,Released,Jack is back!,7.0,5380.0,72.5,53.5,63.0,2.11657906,0.5275395004616553
71,Daddy Day Camp,PG,1,37,29.0,13,15.220557049999998,2007,0,0,0,0,1,0,0,0,0,Daddy Day Camp,6.8999999999999995,5.414213,"[{'name': 'Revolution Studios', 'id': 497}, {'name': 'TriStar Pictures', 'id': 559}]",2007-08-08,18197398.0,89.0,Released,The summer is going to be in tents.,4.4,94.0,33.0,7.0,20.0,2.205877833333333,0.5466657378351338
72,Superbad,R,87,87,76.0,76,139.68270989999996,2007,0,0,0,0,1,0,0,0,0,Superbad,23.0,16.205105,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Apatow Productions', 'id': 10105}]",2007-08-17,121463226.0,113.0,Released,Come and Get Some!,7.0,2152.0,81.5,81.5,81.5,6.073161299999998,0.835341109744607
73,Premonition,PG13,8,50,59.0,29,55.0304946,2007,0,0,0,1,0,1,0,0,1,Premonition,23.0,10.163764,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Hyde Park Films', 'id': 1172}, {'name': 'Offspring Entertainment', 'id': 2378}]",2007-02-08,84146832.0,96.0,Released,Reality is only a nightmare away,5.8,391.0,54.5,18.5,36.5,2.3926301999999997,0.5820499131039975
74,Michael Clayton,R,90,69,73.0,82,56.3889643,2007,0,0,0,0,0,1,0,0,1,Michael Clayton,28.749999999999996,7.857078,"[{'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Mirage Enterprises', 'id': 932}, {'name': 'Section Eight Productions', 'id': 14315}]",2007-09-28,92991835.0,119.0,Released,The truth can be adjusted,6.6,508.0,71.0,86.0,78.5,1.9613552800000003,0.49014846509603305
75,Epic Movie,R,2,29,23.0,17,45.700272049999995,2007,1,0,0,0,1,0,0,0,0,Epic Movie,23.0,5.549609,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Paul Schiff Productions', 'id': 23596}]",2007-01-25,86865564.0,86.0,Released,We know it's big. We measured.,3.2,334.0,26.0,9.5,17.75,1.9869683499999997,0.4967207202872657
76,I'm Not There.,R,77,69,70.0,73,4.62025035,2007,0,0,0,0,0,1,0,0,0,I'm Not There.,23.0,9.351557,"[{'name': 'Endgame Entertainment', 'id': 1205}, {'name': 'Rising Star', 'id': 1208}, {'name': 'Killer Films', 'id': 1422}, {'name': 'John Wells Productions', 'id': 1512}, {'name': 'Dreamachine', 'id': 2506}, {'name': 'Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I)', 'id': 7416}, {'name': 'Grey Water Park Productions', 'id': 14737}, {'name': 'John Goldwyn Productions', 'id': 17594}, {'name': 'Wells Productions', 'id': 72153}]",2007-10-01,4001121.0,135.0,Released,All I Can Do Is Be Me Whoever That Is,6.6,202.0,69.5,75.0,72.25,0.20088045000000002,-3.978085224321232
77,Into the Wild,R,82,89,81.0,73,21.107509399999998,2007,1,0,0,0,0,1,0,0,0,Into the Wild,17.25,15.423538,"[{'name': 'Paramount Vantage', 'id': 838}, {'name': 'River Road Entertainment', 'id': 1246}, {'name': 'Art Linson Productions', 'id': 8769}, {'name': 'Into the Wild', 'id': 41051}]",2007-09-11,56255142.0,148.0,Released,Into the heart. Into the soul.,7.8,3139.0,85.0,77.5,81.25,1.2236237333333333,0.18275530887599645
78,Zodiac,R,90,77,77.0,78,38.042096599999994,2007,0,0,0,0,0,0,0,0,1,Zodiac,74.75,19.083823,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Phoenix Pictures', 'id': 11317}]",2007-03-02,84785914.0,157.0,Released,There's more than one way to lose your life to a killer.,7.3,2080.0,77.0,84.0,80.5,0.5089243692307691,-0.9649285050183068
79,Reno 911!: Miami,R,34,51,59.0,47,23.39348515,2007,0,0,0,0,1,0,0,0,0,Reno 911!: Miami,11.5,4.468247,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Double Feature Films', 'id': 215}, {'name': 'Jersey Films', 'id': 216}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Comedy Central Films', 'id': 7480}, {'name': 'Principato-Young Entertainment', 'id': 37845}, {'name': 'High Sierra Carpeting', 'id': 89635}]",2007-02-23,20342161.0,84.0,Released,"In a time of crisis, America will call Reno 911!",5.6,72.0,55.0,40.5,47.75,2.0342161,0.5084101438387003
80,Dragon Wars: D-War,PG13,28,19,36.0,33,12.62437915,2007,1,0,0,1,0,1,0,0,0,Dragon Wars: D-War,80.5,6.280906,"[{'name': 'Younggu-Art Movies', 'id': 6366}, {'name': 'Showbox Entertainment', 'id': 11420}]",2007-02-08,53587404.0,90.0,Released,They've made our world their battleground,4.0,104.0,27.5,30.5,29.0,0.1568245857142857,-5.376551198559337
81,Diary of the Dead,R,61,41,57.0,66,1.095513,2007,0,0,0,0,0,0,0,1,1,Diary of the Dead,2.3,12.001324,"[{'name': 'Artfire Films', 'id': 3240}]",2007-09-08,5364858.0,95.0,Released,Where will you be when the end begins?,5.4,194.0,49.0,63.5,56.25,0.47631,-1.0994730322689004
82,Sunshine,R,76,73,73.0,64,4.241844,2007,0,0,0,1,0,1,0,0,0,Sunshine,57.49999999999999,12.715571,"[{'name': 'DNA Films', 'id': 284}, {'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'UK Film Council', 'id': 2452}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}]",2007-04-05,32017803.0,107.0,Released,"If the sun dies, so do we.",7.0,1210.0,73.0,70.0,71.5,0.07377120000000002,-12.555425423471487
83,Spider-Man 3,PG13,63,51,62.0,59,387.00984845,2007,1,0,0,1,0,0,0,0,1,Spider-Man 3,296.7,27.614265,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Laura Ziskin Productions', 'id': 326}, {'name': 'Marvel Enterprises', 'id': 19551}]",2007-05-01,890871626.0,139.0,Released,The battle within.,5.9,3687.0,56.5,61.0,58.75,1.304381019379845,0.23335284311677573
84,Yes Man,PG13,46,66,68.0,46,108.43698336000001,2008,0,0,0,0,1,0,0,0,0,Yes Man,77.7,9.756289,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'The Zanuck Company', 'id': 80}, {'name': 'Heyday films', 'id': 437}, {'name': 'Warner Bros.', 'id': 6194}]",2008-12-09,225990978.0,104.0,Released,One Word Can Change Everything.,6.4,1869.0,67.0,46.0,56.5,1.3955853714285715,0.2834547993460523
85,RockNRolla,R,59,71,73.0,53,6.32769486,2008,1,0,0,0,0,1,0,0,0,RockNRolla,19.98,7.263988,"[{'name': 'StudioCanal', 'id': 694}, {'name': 'Dark Castle Entertainment', 'id': 1786}, {'name': 'Toff Guy Films', 'id': 2900}, {'name': 'Warner Bros.', 'id': 6194}]",2008-09-04,25739015.0,114.0,Released,"A story of sex, thugs and rock 'n roll.",6.9,851.0,72.0,56.0,64.0,0.3167014444444444,-2.1575479605222303
86,Sex Drive,R,46,58,65.0,49,9.326758350000002,2008,0,0,0,0,1,0,0,0,0,Sex Drive,21.09,9.106146,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Alloy Entertainment', 'id': 10067}, {'name': 'Goldcrest Pictures', 'id': 11843}]",2008-10-16,18755936.0,109.0,Released,He's leaving virgin territory,6.0,348.0,61.5,47.5,54.5,0.44223605263157906,-1.2612358129767558
87,Fireproof,PG,40,82,66.0,28,37.13651187000001,2008,0,0,0,0,0,1,0,0,0,Fireproof,0.555,5.329195,"[{'name': 'Carmel Entertainment', 'id': 3290}, {'name': 'Provident Films', 'id': 3291}, {'name': 'Samuel Goldwyn Films', 'id': 9118}, {'name': 'Affirm Films', 'id': 10156}, {'name': 'Sherwood Pictures', 'id': 41967}]",2008-09-26,33456317.0,122.0,Released,Never Leave Your Partner Behind.,7.0,100.0,74.0,34.0,54.0,66.91263400000001,0.9850551392133211
88,Harold & Kumar Escape from Guantanamo Bay,R,52,60,66.0,57,42.30068808000001,2008,0,0,0,0,1,0,0,0,0,Harold & Kumar Escape from Guantanamo Bay,13.320000000000002,13.065315,"[{'name': 'New Line Cinema', 'id': 12}]",2008-04-25,43493123.0,107.0,Released,This time they're running from the joint.,6.2,508.0,63.0,54.5,58.75,3.1757273333333336,0.6851115051649062
89,Step Up 2: The Streets,PG13,27,76,62.0,50,64.39973913,2008,0,0,0,0,0,1,1,0,0,Step Up 2: The Streets,25.530000000000005,7.667579,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Offspring Entertainment', 'id': 2378}, {'name': 'Touchstone Pictures', 'id': 9195}]",2008-02-14,150816700.0,98.0,Released,It's not where you're from. It's where you're at.,6.5,658.0,69.0,38.5,53.75,2.5225123043478255,0.6035698227214231
90,27 Dresses,PG13,41,57,61.0,47,85.25760594000002,2008,0,0,0,0,1,0,1,0,0,27 Dresses,33.300000000000004,10.342202,"[{'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Dune Entertainment III', 'id': 6332}]",2008-01-10,160259319.0,111.0,Released,She's about to find the perfect fit.,6.1,1013.0,59.0,44.0,51.5,2.560288466666667,0.6094190115608588
91,The Love Guru,PG13,13,33,38.0,24,35.742135420000004,2008,0,0,0,0,1,0,0,0,0,The Love Guru,68.82,6.258666,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Goldcrest Pictures', 'id': 11843}, {'name': 'Internationale Filmproduktion', 'id': 15742}]",2008-06-20,41819064.0,87.0,Released,His Karma is Huge,4.3,243.0,35.5,18.5,27.0,0.519356806451613,-0.9254585432937176
92,Mamma Mia!,PG13,54,66,64.0,51,159.98436993,2008,0,0,0,0,1,0,1,0,0,Mamma Mia!,57.720000000000006,10.534437,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Internationale Filmproduktion Richter', 'id': 2655}, {'name': 'Playtone', 'id': 4171}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Littlestar', 'id': 34441}]",2008-07-03,609841637.0,108.0,Released,Take a trip down the aisle you'll never forget,6.4,1435.0,65.0,52.5,58.75,2.7717319807692307,0.6392147556335974
93,Appaloosa,R,77,54,68.0,64,22.434647340000005,2008,1,0,0,0,0,0,0,0,0,Appaloosa,22.200000000000003,12.392754,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Groundswell Productions', 'id': 4205}, {'name': 'Axon Films', 'id': 21106}]",2008-09-12,20211394.0,115.0,Released,Feelings get you killed.,6.3,305.0,61.0,70.5,65.75,1.0105697,0.010459149923058348
94,Wanted,R,71,69,67.0,64,149.30449161,2008,1,0,0,1,0,0,0,0,1,Wanted,83.25,12.457896,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Bazelevs Production', 'id': 1038}, {'name': 'Kickstart Productions', 'id': 2526}, {'name': 'Marc Platt Productions', 'id': 2527}, {'name': 'Top Cow Productions', 'id': 2528}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Ringerike Zweite Filmproduktion', 'id': 23955}, {'name': 'Revolution Sun Studios', 'id': 76043}]",2008-06-19,258270008.0,110.0,Released,Choose your destiny.,6.4,2583.0,68.0,67.5,67.75,1.793447346666667,0.44241463131961034
95,Punisher: War Zone,R,27,42,60.0,30,8.936584470000001,2008,1,0,0,0,0,1,0,0,1,Punisher: War Zone,22.755000000000003,8.333526,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'MHF Zweite Academy Film', 'id': 8848}, {'name': 'Marvel Knights', 'id': 11106}, {'name': 'Valhalla Motion Pictures', 'id': 11533}, {'name': 'SGF Entertainment', 'id': 33808}, {'name': 'Muse Entertainment', 'id': 83338}]",2008-12-05,10089373.0,102.0,Released,Vengeance has a name,5.6,298.0,51.0,28.5,39.75,0.3927305853658537,-1.5462748185717086
96,Quantum of Solace,PG13,65,58,66.0,58,187.99895397000003,2008,1,0,0,0,0,1,0,0,1,Quantum of Solace,222.00000000000003,13.67812,"[{'name': 'Eon Productions', 'id': 7576}]",2008-10-30,586090727.0,106.0,Released,"For love, for hate, for justice, for revenge.",6.1,3015.0,62.0,61.5,61.75,0.846842135,-0.18085763410910105
97,Revolutionary Road,R,68,71,73.0,69,25.431742800000002,2008,0,0,0,0,0,1,0,0,0,Revolutionary Road,38.85,12.265867,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Scott Rudin Productions', 'id': 258}, {'name': 'BBC Films', 'id': 288}, {'name': 'Neal Street Productions', 'id': 1522}, {'name': 'Evamere Entertainment', 'id': 1550}, {'name': 'Goldcrest Pictures', 'id': 11843}]",2008-12-19,75225693.0,119.0,Released,How do you break free without breaking apart?,6.8,824.0,72.0,68.5,70.25,0.6546137142857144,-0.5276184689945825
98,Lakeview Terrace,PG13,45,39,61.0,47,43.58249166,2008,0,0,0,0,0,1,0,0,1,Lakeview Terrace,22.200000000000003,13.857624,"[{'name': 'Screen Gems', 'id': 3287}, {'name': 'Overbrook Entertainment', 'id': 12485}]",2008-09-19,27640028.0,110.0,Released,What Could Be Safer Than Living Next to a Cop?,5.9,294.0,50.0,46.0,48.0,1.9631752999999998,0.4906211381123224
99,Inglourious Basterds,R,88,87,83.0,69,134.05979934,2009,1,0,0,0,0,1,0,0,0,Inglourious Basterds,77.7,16.89564,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'A Band Apart', 'id': 59}, {'name': 'The Weinstein Company', 'id': 308}, {'name': 'Zehnte Babelsberg', 'id': 6817}, {'name': 'Visiona Romantica', 'id': 6818}]",2009-08-18,319131050.0,153.0,Released,Once upon a time in Nazi occupied France...,7.9,6598.0,85.0,78.5,81.75,1.725351342857143,0.4204079046624657
100,World's Greatest Dad,R,89,67,69.0,69,0.24620355000000002,2009,0,0,0,0,1,1,0,0,0,World's Greatest Dad,11.100000000000001,5.431657,"[{'name': 'Magnolia Pictures', 'id': 1030}, {'name': 'Jerkschool Productions', 'id': 7357}]",2009-08-20,295750.0,99.0,Released,Lance Clayton is about to get everything he deserves.,6.5,181.0,68.0,79.0,73.5,0.0221805,-44.08464642366042
101,Crazy Heart,R,91,76,73.0,83,43.813633620000004,2009,0,0,0,0,0,1,1,0,0,Crazy Heart,7.770000000000001,9.347931,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': ""Butcher's Run Films"", 'id': 3864}, {'name': 'Informant Media', 'id': 9325}]",2009-12-16,39462438.0,112.0,Released,"The harder the life, the sweeter the song.",6.8,279.0,74.5,87.0,80.75,5.638820285714285,0.8226579409644499
102,Post Grad,PG13,8,27,53.0,35,7.081821090000001,2009,0,0,0,0,1,0,0,0,0,Post Grad,16.650000000000002,9.747452,"[{'name': 'Dune Entertainment', 'id': 444}, {'name': 'Cold Spring Pictures', 'id': 2363}, {'name': 'The Montecito Picture Company', 'id': 2364}, {'name': 'Fox Atomic', 'id': 2890}]",2009-08-21,6405245.0,89.0,Released,A Pre-Life Crisis.,5.0,102.0,40.0,21.5,30.75,0.4253346,-1.351090177004175
103,The Time Traveler's Wife,PG13,38,59,71.0,47,70.39047906,2009,0,0,0,1,0,1,1,0,0,The Time Traveler's Wife,43.290000000000006,13.682598,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Plan B Entertainment', 'id': 81}, {'name': 'Nick Wechsler Productions', 'id': 8073}, {'name': 'Internationale Scarena Filmproduktionsgesellschaft 2', 'id': 23046}]",2009-08-14,101229792.0,107.0,Released,,6.7,815.0,65.0,42.5,53.75,1.6260216923076922,0.38500205456621306
104,Up,PG,98,90,83.0,88,325.23462204000003,2009,1,1,1,0,1,0,0,0,0,Up,194.25000000000003,19.330884,"[{'name': 'Pixar Animation Studios', 'id': 3}]",2009-05-13,735099082.0,96.0,Released,,7.8,7048.0,86.5,93.0,89.75,1.6743095085714286,0.40273886346543525
105,I Love You Phillip Morris,R,72,61,66.0,65,2.2615794900000004,2009,0,0,0,0,1,1,0,0,0,I Love You Phillip Morris,14.430000000000001,5.773752,"[{'name': 'EuropaCorp', 'id': 6896}]",2009-01-18,10652035.0,98.0,Released,The Conman who wouldn't go straight.,6.4,514.0,63.5,68.5,66.0,0.15672761538461538,-5.380496490972333
